Nodes
No.	x	y	z
[-]	[m]	[m]	[m]
1	0.000	0.000	0.000
2	0.000	0.000	1.500
3	0.000	0.000	3.000
4	1.200	0.000	0.000
5	1.200	0.000	3.000
6	2.400	0.000	0.000
7	2.400	0.000	1.500
8	2.400	0.000	3.000
9	3.600	0.000	0.000
10	3.600	0.000	3.000
11	4.800	0.000	0.000
12	4.800	0.000	1.500
13	4.800	0.000	3.000
14	6.000	0.000	0.000
15	6.000	0.000	3.000
16	7.200	0.000	0.000
17	7.200	0.000	1.500
18	7.200	0.000	3.000
19	8.400	0.000	0.000
20	8.400	0.000	3.000
21	9.600	0.000	0.000
22	9.600	0.000	1.500
23	9.600	0.000	3.000
24	10.800	0.000	0.000
25	10.800	0.000	3.000
26	12.000	0.000	0.000
27	12.000	0.000	1.500
28	12.000	0.000	3.000

