in:Length,in:Height,in:Division,in:Truss type,out:Translation,out:TotalWeight,out:Frequency,img
11,1,4,PRATT,10.636,246.614,32.896,11_1_4_PRATT.png
10,1,4,PRATT,8.984,209.226,38.917,10_1_4_PRATT.png
12,1,4,PRATT,11.629,306.613,28.764,12_1_4_PRATT.png
13,1,4,PRATT,13.66,350.873,25.472,13_1_4_PRATT.png
14,1,4,PRATT,15.114,418.107,22.463,14_1_4_PRATT.png
15,1,4,PRATT,17.716,466.627,20.035,15_1_4_PRATT.png
16,1,4,PRATT,18.567,563.764,17.984,16_1_4_PRATT.png
17,1,4,PRATT,21.15,630.421,16.206,17_1_4_PRATT.png
18,1,4,PRATT,24.017,693.403,14.526,18_1_4_PRATT.png
19,1,4,PRATT,25.388,813.486,13.157,19_1_4_PRATT.png
20,1,4,PRATT,27.901,900.324,12.131,20_1_4_PRATT.png
21,1,4,PRATT,30.924053,996.769,10.992,21_1_4_PRATT.png
22,1,4,PRATT,32.367197,1156.297,10.064,22_1_4_PRATT.png
23,1,4,PRATT,35.49818,1266.362,9.251,23_1_4_PRATT.png
24,1,4,PRATT,39.051,1364.24,8.625,24_1_4_PRATT.png
25,1,4,PRATT,40.816055,1546.516,8.01,25_1_4_PRATT.png
10,2,4,PRATT,5.44403,181.398,31.025,10_2_4_PRATT.png
11,2,4,PRATT,5.962365,209.409,26.121,11_2_4_PRATT.png
12,2,4,PRATT,6.484834,243.008,23.492,12_2_4_PRATT.png
13,2,4,PRATT,7.253112,275.483,19.788,13_2_4_PRATT.png
14,2,4,PRATT,7.180288,346.306,19.296,14_2_4_PRATT.png
15,2,4,PRATT,8.049531,385.41,16.963,15_2_4_PRATT.png
16,2,4,PRATT,8.909156,427.897,15.819,16_2_4_PRATT.png
17,2,4,PRATT,9.852537,468.831,15.568,17_2_4_PRATT.png
18,2,4,PRATT,10.509828,537.705,14.96,18_2_4_PRATT.png
19,2,4,PRATT,11.91594,584.317,13.109,19_2_4_PRATT.png
20,2,4,PRATT,12.280098,671.95,13.213,20_2_4_PRATT.png
21,2,4,PRATT,12.986445,760.961,12.419,21_2_4_PRATT.png
22,2,4,PRATT,14.117358,834.354,11.943,22_2_4_PRATT.png
23,2,4,PRATT,15.565591,889.875,11.138,23_2_4_PRATT.png
24,2,4,PRATT,16.650338,991.072,10.151,24_2_4_PRATT.png
25,2,4,PRATT,17.706965,1109.85,9.55,25_2_4_PRATT.png
10,3,4,PRATT,5.098353,209.524,23.812,10_3_4_PRATT.png
11,3,4,PRATT,5.201526,249.138,20.402,11_3_4_PRATT.png
12,3,4,PRATT,5.499446,268.205,21.713,12_3_4_PRATT.png
13,3,4,PRATT,6.033879,290.707,19.072,13_3_4_PRATT.png
14,3,4,PRATT,6.521568,322.21,16.695,14_3_4_PRATT.png
15,3,4,PRATT,6.835353,386.055,14.425,15_3_4_PRATT.png
16,3,4,PRATT,6.861511,441.699,14.179,16_3_4_PRATT.png
17,3,4,PRATT,7.571755,466.311,13.656,17_3_4_PRATT.png
18,3,4,PRATT,8.260302,506.531,12.18,18_3_4_PRATT.png
19,3,4,PRATT,8.891341,533.538,12.107,19_3_4_PRATT.png
20,3,4,PRATT,9.083862,621.509,11.369,20_3_4_PRATT.png
21,3,4,PRATT,10.123613,662.998,10.297,21_3_4_PRATT.png
22,3,4,PRATT,10.843397,743.655,9.616,22_3_4_PRATT.png
23,3,4,PRATT,11.196487,801.167,9.781,23_3_4_PRATT.png
24,3,4,PRATT,11.791867,895.784,9.285,24_3_4_PRATT.png
25,3,4,PRATT,12.796152,961.001,8.629,25_3_4_PRATT.png
10,4,4,PRATT,5.396127,260.196,23.426,10_4_4_PRATT.png
11,4,4,PRATT,5.729404,276.689,19.792,11_4_4_PRATT.png
12,4,4,PRATT,5.942539,305.318,17.112,12_4_4_PRATT.png
13,4,4,PRATT,5.944499,337.59,17.331,13_4_4_PRATT.png
14,4,4,PRATT,6.213939,381.025,15.312,14_4_4_PRATT.png
15,4,4,PRATT,6.590617,425.169,13.803,15_4_4_PRATT.png
16,4,4,PRATT,7.019603,459.33,13.235,16_4_4_PRATT.png
17,4,4,PRATT,6.980465,503.469,13.056,17_4_4_PRATT.png
18,4,4,PRATT,7.661692,528.956,11.86,18_4_4_PRATT.png
19,4,4,PRATT,8.481889,548.495,10.726,19_4_4_PRATT.png
20,4,4,PRATT,8.212801,629.022,10.995,20_4_4_PRATT.png
21,4,4,PRATT,8.960015,668.144,10.044,21_4_4_PRATT.png
22,4,4,PRATT,9.574281,715.05,9.231,22_4_4_PRATT.png
23,4,4,PRATT,10.191268,817.16,8.38,23_4_4_PRATT.png
24,4,4,PRATT,9.948911,894.514,9.014,24_4_4_PRATT.png
25,4,4,PRATT,10.838724,946.399,8.354,25_4_4_PRATT.png
10,5,4,PRATT,6.021075,321.891,20.888,10_5_4_PRATT.png
11,5,4,PRATT,6.127158,360.589,18.066,11_5_4_PRATT.png
12,5,4,PRATT,6.205503,383.468,16.192,12_5_4_PRATT.png
13,5,4,PRATT,6.531442,433.947,14.13,13_5_4_PRATT.png
14,5,4,PRATT,6.398591,453.881,16.043,14_5_4_PRATT.png
15,5,4,PRATT,6.805749,478.615,14.434,15_5_4_PRATT.png
16,5,4,PRATT,7.343997,499.336,12.761,16_5_4_PRATT.png
17,5,4,PRATT,7.948983,528.979,11.33,17_5_4_PRATT.png
18,5,4,PRATT,7.741075,569.236,11.239,18_5_4_PRATT.png
19,5,4,PRATT,8.107297,628.933,10.715,19_5_4_PRATT.png
20,5,4,PRATT,8.85822,656.66,9.65,20_5_4_PRATT.png
21,5,4,PRATT,8.718325,699.664,9.706,21_5_4_PRATT.png
22,5,4,PRATT,9.523482,721.029,8.92,22_5_4_PRATT.png
23,5,4,PRATT,9.70292,847.54,8.203,23_5_4_PRATT.png
24,5,4,PRATT,10.283755,939.418,7.756,24_5_4_PRATT.png
25,5,4,PRATT,10.161871,977.04,8.101,25_5_4_PRATT.png
10,1,5,PRATT,9.758773,230.477,44.223,10_1_5_PRATT.png
11,1,5,PRATT,11.633877,268.148,37.718,11_1_5_PRATT.png
12,1,5,PRATT,13.075006,326.333,32.188,12_1_5_PRATT.png
13,1,5,PRATT,14.641822,385.003,28.256,13_1_5_PRATT.png
14,1,5,PRATT,17.848058,416.832,24.97,14_1_5_PRATT.png
15,1,5,PRATT,18.986581,503.535,22.239,15_1_5_PRATT.png
16,1,5,PRATT,21.666489,564.942,19.666,16_1_5_PRATT.png
17,1,5,PRATT,23.719785,648.848,17.69,17_1_5_PRATT.png
18,1,5,PRATT,26.976019,713.274,15.938,18_1_5_PRATT.png
19,1,5,PRATT,29.354912,809.503,14.423,19_1_5_PRATT.png
20,1,5,PRATT,30.922815,942.443,13.08,20_1_5_PRATT.png
21,1,5,PRATT,32.366807,1092.181,11.99,21_1_5_PRATT.png
22,1,5,PRATT,37.051908,1146.3,11.017,22_1_5_PRATT.png
23,1,5,PRATT,41.601837,1212.494,10.135,23_1_5_PRATT.png
24,1,5,PRATT,43.040767,1397.578,9.355,24_1_5_PRATT.png
25,1,5,PRATT,45.875516,1544.19,8.696,25_1_5_PRATT.png
10,2,5,PRATT,6.289046,204.379,45.533,10_2_5_PRATT.png
11,2,5,PRATT,6.733039,239.856,39.021,11_2_5_PRATT.png
12,2,5,PRATT,7.331,275.995,33.156,12_2_5_PRATT.png
13,2,5,PRATT,7.919,314.664,34.479,13_2_5_PRATT.png
14,2,5,PRATT,8.734006,353.586,29.856,14_2_5_PRATT.png
15,2,5,PRATT,9.35501,404.938,27.965,15_2_5_PRATT.png
16,2,5,PRATT,10.071011,459.938,24.831,16_2_5_PRATT.png
17,2,5,PRATT,10.851017,512.584,24.269,17_2_5_PRATT.png
18,2,5,PRATT,11.964126,560.381,23.355,18_2_5_PRATT.png
19,2,5,PRATT,13.272131,603.628,21.229,19_2_5_PRATT.png
20,2,5,PRATT,13.892152,685.268,19.958,20_2_5_PRATT.png
21,2,5,PRATT,15.111144,748.788,18.461,21_2_5_PRATT.png
22,2,5,PRATT,15.835168,845.393,17.283,22_2_5_PRATT.png
23,2,5,PRATT,16.954184,932.606,16.063,23_2_5_PRATT.png
24,2,5,PRATT,18.769202,976.027,15.107,24_2_5_PRATT.png
25,2,5,PRATT,19.996207,1063.101,14.213,25_2_5_PRATT.png
10,3,5,PRATT,5.929401,254.715,37.368,10_3_5_PRATT.png
11,3,5,PRATT,6.171322,284.513,32.947,11_3_5_PRATT.png
12,3,5,PRATT,6.588361,307.884,31.212,12_3_5_PRATT.png
13,3,5,PRATT,6.905134,334.777,27.817,13_3_5_PRATT.png
14,3,5,PRATT,7.218116,379.131,24.325,14_3_5_PRATT.png
15,3,5,PRATT,7.326126,439.011,23.341,15_3_5_PRATT.png
16,3,5,PRATT,8.12402,457.119,20.897,16_3_5_PRATT.png
17,3,5,PRATT,8.47001,517.494,19.443,17_3_5_PRATT.png
18,3,5,PRATT,9.079002,548.272,20.541,18_3_5_PRATT.png
19,3,5,PRATT,9.635009,599.885,18.671,19_3_5_PRATT.png
20,3,5,PRATT,10.395001,651.109,16.851,20_3_5_PRATT.png
21,3,5,PRATT,11.202,683.122,16.613,21_3_5_PRATT.png
22,3,5,PRATT,11.388001,767.846,15.94,22_3_5_PRATT.png
23,3,5,PRATT,12.265,821.275,14.689,23_3_5_PRATT.png
24,3,5,PRATT,12.443,934.757,13.939,24_3_5_PRATT.png
25,3,5,PRATT,13.440003,977.757,13.364,25_3_5_PRATT.png
10,4,5,PRATT,6.048453,329.914,34.253,10_4_5_PRATT.png
11,4,5,PRATT,6.662608,340.136,30.114,11_4_5_PRATT.png
12,4,5,PRATT,6.776598,376.973,27.044,12_4_5_PRATT.png
13,4,5,PRATT,6.903536,421.879,23.917,13_4_5_PRATT.png
14,4,5,PRATT,7.00034,446.998,21.963,14_4_5_PRATT.png
15,4,5,PRATT,7.282281,494.669,19.556,15_4_5_PRATT.png
16,4,5,PRATT,7.362253,544.069,21.128,16_4_5_PRATT.png
17,4,5,PRATT,7.882252,567.962,19.449,17_4_5_PRATT.png
18,4,5,PRATT,8.514226,586.315,17.638,18_4_5_PRATT.png
19,4,5,PRATT,8.856061,627.69,17.023,19_4_5_PRATT.png
20,4,5,PRATT,9.363062,665.108,15.945,20_4_5_PRATT.png
21,4,5,PRATT,9.631071,739.337,15.34,21_4_5_PRATT.png
22,4,5,PRATT,10.241036,793.589,13.986,22_4_5_PRATT.png
23,4,5,PRATT,10.715021,826.538,13.908,23_4_5_PRATT.png
24,4,5,PRATT,11.390021,873.946,12.903,24_4_5_PRATT.png
25,4,5,PRATT,11.352018,988.774,12.035,25_4_5_PRATT.png
