Bar elements
Bar	Elem	Node 1	Node 2
B.1.1	1	2	4
B.1.1	2	4	6
B.1.1	3	6	8
B.1.1	4	8	10
B.1.1	5	10	12
B.1.1	6	12	14
B.1.1	7	14	16
B.1.1	8	16	18
B.1.1	9	18	20
B.1.1	10	20	22
B.1.1	11	22	24
B.1.1	12	24	26
B.1.1	13	26	28
B.1.1	14	28	30
B.1.1	15	30	32
B.1.1	16	32	34
B.1.1	17	34	36
B.1.1	18	36	38
B.1.1	19	38	40
B.1.1	20	40	42
B.2.1	23	1	3
B.2.1	24	3	5
B.2.1	25	5	7
B.2.1	26	7	9
B.2.1	27	9	11
B.2.1	28	11	13
B.2.1	29	13	15
B.2.1	30	15	17
B.2.1	31	17	19
B.2.1	32	19	21
B.2.1	33	21	23
B.2.1	34	23	25
B.2.1	35	25	27
B.2.1	36	27	29
B.2.1	37	29	31
B.2.1	38	31	33
B.2.1	39	33	35
B.2.1	40	35	37
B.2.1	41	37	39
B.2.1	42	39	41

