Nodes
No.	x	y	z
[-]	[m]	[m]	[m]
1	4.191	6.199	0.000
2	4.191	10.743	0.000
3	4.516	6.199	0.000
4	4.516	10.743	0.000
5	4.840	6.199	0.000
6	4.840	10.743	0.000
7	5.164	6.199	0.000
8	5.164	10.743	0.000
9	5.489	6.199	0.000
10	5.489	10.743	0.000
11	5.813	6.199	0.000
12	5.813	10.743	0.000
13	6.137	6.199	0.000
14	6.137	10.743	0.000
15	6.462	6.199	0.000
16	6.462	10.743	0.000
17	6.786	6.199	0.000
18	6.786	10.743	0.000
19	7.110	6.199	0.000
20	7.110	10.743	0.000
21	7.435	6.199	0.000
22	7.435	10.743	0.000
23	7.759	6.199	0.000
24	7.759	10.743	0.000
25	8.083	6.199	0.000
26	8.083	10.743	0.000
27	8.408	6.199	0.000
28	8.408	10.743	0.000
29	8.732	6.199	0.000
30	8.732	10.743	0.000
31	9.056	6.199	0.000
32	9.056	10.743	0.000
33	9.381	6.199	0.000
34	9.381	10.743	0.000
35	9.705	6.199	0.000
36	9.705	10.743	0.000
37	10.029	6.199	0.000
38	10.029	10.743	0.000
39	10.354	6.199	0.000
40	10.354	10.743	0.000
41	10.678	6.199	0.000
42	10.678	10.743	0.000

